BOX011, O14757-Q55PZ1.msf, SP: 0.491   ref_length: 550   comparison_length: 422   similarity: 0.291
BOX032, Q1EQ22-Q86KI1.msf, SP: 0.721   ref_length: 1022   comparison_length: 928   similarity: 0.297
BOX032, Q86KI1-Q9FNI4.msf, SP: 0.807   ref_length: 1048   comparison_length: 957   similarity: 0.413
BOX045, O76848-P34326.msf, SP: 0.531   ref_length: 252   comparison_length: 179   similarity: 0.402
BOX045, O76848-Q70G59.msf, SP: 0.417   ref_length: 359   comparison_length: 228   similarity: 0.43
BOX045, P34326-Q4JEV7.msf, SP: 0.608   ref_length: 327   comparison_length: 171   similarity: 0.444
BOX045, Q4JEV7-Q5EVN0.msf, SP: 0.661   ref_length: 315   comparison_length: 168   similarity: 0.506
BOX047, P03070-P24597.msf, SP: 0.595   ref_length: 736   comparison_length: 620   similarity: 0.332
BOX047, P03075-P24597.msf, SP: 0.443   ref_length: 787   comparison_length: 612   similarity: 0.26
BOX049, P03129-Q0QII0.msf, SP: 0.707   ref_length: 102   comparison_length: 82   similarity: 0.28
BOX049, P03129-Q2VJD4.msf, SP: 0.816   ref_length: 110   comparison_length: 98   similarity: 0.398
BOX049, P03129-Q778F2.msf, SP: 0.692   ref_length: 101   comparison_length: 91   similarity: 0.308
BOX049, P03129-Q81019.msf, SP: 0.674   ref_length: 101   comparison_length: 92   similarity: 0.457
BOX049, P03129-Q9J030.msf, SP: 0.659   ref_length: 100   comparison_length: 91   similarity: 0.319
BOX049, P06465-Q1AHT6.msf, SP: 1.0   ref_length: 104   comparison_length: 89   similarity: 0.438
BOX049, P06465-Q705F5.msf, SP: 0.744   ref_length: 106   comparison_length: 86   similarity: 0.384
BOX049, P26558-Q81019.msf, SP: 0.67   ref_length: 105   comparison_length: 91   similarity: 0.363
BOX049, P36825-P36827.msf, SP: 0.75   ref_length: 104   comparison_length: 92   similarity: 0.424
BOX049, P36825-Q778F2.msf, SP: 0.787   ref_length: 97   comparison_length: 89   similarity: 0.326
BOX049, P36825-Q81019.msf, SP: 0.885   ref_length: 100   comparison_length: 87   similarity: 0.402
BOX049, P36827-Q84355.msf, SP: 0.733   ref_length: 114   comparison_length: 86   similarity: 0.279
BOX049, Q0QII0-Q0QLX5.msf, SP: 0.741   ref_length: 101   comparison_length: 85   similarity: 0.318
BOX049, Q0QII0-Q81019.msf, SP: 0.774   ref_length: 97   comparison_length: 84   similarity: 0.25
BOX049, Q0QII0-Q84355.msf, SP: 0.759   ref_length: 99   comparison_length: 83   similarity: 0.289
BOX049, Q0QLX5-Q2VJD4.msf, SP: 0.574   ref_length: 116   comparison_length: 94   similarity: 0.33
BOX049, Q1I126-Q5MFW8.msf, SP: 0.494   ref_length: 118   comparison_length: 89   similarity: 0.281
BOX049, Q1I126-Q9J030.msf, SP: 0.667   ref_length: 101   comparison_length: 84   similarity: 0.31
BOX049, Q2VJD4-Q705F5.msf, SP: 0.793   ref_length: 122   comparison_length: 87   similarity: 0.299
BOX049, Q5MFW8-Q81019.msf, SP: 0.645   ref_length: 117   comparison_length: 93   similarity: 0.419
BOX049, Q778F2-Q9J030.msf, SP: 0.876   ref_length: 98   comparison_length: 89   similarity: 0.337
BOX050, A0MK42-P06499.msf, SP: 0.789   ref_length: 267   comparison_length: 232   similarity: 0.392
BOX050, P03254-P06499.msf, SP: 0.31   ref_length: 300   comparison_length: 255   similarity: 0.29
BOX050, Q2KS76-Q6JGG8.msf, SP: 0.787   ref_length: 283   comparison_length: 225   similarity: 0.387
BOX054, P11346-Q5K4U1.msf, SP: 0.596   ref_length: 991   comparison_length: 628   similarity: 0.354
BOX075, P00744-Q8JHC9.msf, SP: 0.679   ref_length: 471   comparison_length: 368   similarity: 0.307
BOX075, P08709-Q4SUA0.msf, SP: 0.685   ref_length: 473   comparison_length: 372   similarity: 0.376
BOX075, P08709-Q804X6.msf, SP: 0.769   ref_length: 517   comparison_length: 420   similarity: 0.429
BOX075, P08709-Q8AYE4.msf, SP: 0.753   ref_length: 539   comparison_length: 430   similarity: 0.398
BOX075, Q3TBR2-Q4SB52.msf, SP: 0.748   ref_length: 510   comparison_length: 476   similarity: 0.361
BOX075, Q3TBR2-Q4SUA0.msf, SP: 0.671   ref_length: 492   comparison_length: 368   similarity: 0.367
BOX075, Q4RJM2-Q4SB52.msf, SP: 0.695   ref_length: 513   comparison_length: 410   similarity: 0.283
BOX075, Q4RJM2-Q4SUA0.msf, SP: 0.676   ref_length: 442   comparison_length: 355   similarity: 0.307
BOX075, Q4SUA0-Q4SUA3.msf, SP: 0.443   ref_length: 486   comparison_length: 359   similarity: 0.256
BOX075, Q4SUA0-Q804X0.msf, SP: 0.716   ref_length: 446   comparison_length: 363   similarity: 0.328
BOX075, Q4SUA3-Q804W8.msf, SP: 0.431   ref_length: 588   comparison_length: 415   similarity: 0.267
BOX075, Q4SUA3-Q804X6.msf, SP: 0.422   ref_length: 532   comparison_length: 405   similarity: 0.257
BOX075, Q4SUA3-Q8AYE4.msf, SP: 0.393   ref_length: 554   comparison_length: 415   similarity: 0.26
BOX075, Q804X0-Q8JHC9.msf, SP: 0.783   ref_length: 462   comparison_length: 411   similarity: 0.404
BOX075, Q804X6-Q8AYE4.msf, SP: 0.733   ref_length: 505   comparison_length: 469   similarity: 0.409
BOX076, Q1RM43-Q8LAM5.msf, SP: 0.643   ref_length: 614   comparison_length: 493   similarity: 0.26
BOX096, Q26228-Q54MA9.msf, SP: 0.657   ref_length: 914   comparison_length: 595   similarity: 0.294
BOX096, Q26228-Q7F1M0.msf, SP: 0.523   ref_length: 633   comparison_length: 591   similarity: 0.271
BOX121, P21579-Q9V4C4.msf, SP: 0.722   ref_length: 485   comparison_length: 353   similarity: 0.385
BOX121, P21579-SYT8_MOUSE.msf, SP: 0.715   ref_length: 431   comparison_length: 386   similarity: 0.368
BOX121, Q4R560-Q505J5.msf, SP: 0.745   ref_length: 451   comparison_length: 364   similarity: 0.357
BOX121, Q4R560-Q9BSW7.msf, SP: 0.691   ref_length: 491   comparison_length: 369   similarity: 0.301
BOX121, Q505J5-Q616G2.msf, SP: 0.729   ref_length: 446   comparison_length: 240   similarity: 0.383
BOX121, Q505J5-Q61D57.msf, SP: 0.57   ref_length: 438   comparison_length: 372   similarity: 0.32
BOX121, Q505J5-Q8SYD5.msf, SP: 0.648   ref_length: 477   comparison_length: 426   similarity: 0.369
BOX121, Q616G2-Q9V4C4.msf, SP: 0.828   ref_length: 435   comparison_length: 238   similarity: 0.412
BOX121, Q61D57-Q8CF95.msf, SP: 0.547   ref_length: 528   comparison_length: 371   similarity: 0.28
BOX121, Q8CF95-SYT8_MOUSE.msf, SP: 0.391   ref_length: 542   comparison_length: 371   similarity: 0.264
BOX121, Q8SYD5-Q9BSW7.msf, SP: 0.492   ref_length: 503   comparison_length: 445   similarity: 0.231
BOX121, Q8SYD5-SYT8_MOUSE.msf, SP: 0.399   ref_length: 526   comparison_length: 343   similarity: 0.251
BOX121, Q9BSW7-SYT8_MOUSE.msf, SP: 0.643   ref_length: 516   comparison_length: 353   similarity: 0.275
BOX121, Q9QUK7-SYT8_MOUSE.msf, SP: 0.625   ref_length: 514   comparison_length: 307   similarity: 0.309
BOX122, Q0IG96-Q17HG0.msf, SP: 0.651   ref_length: 536   comparison_length: 510   similarity: 0.229
